nco_code,title
1324.99,"Supply, Distribution and Related Managers and"
1324.99,"Supply, Distribution  and Related"
1324.9900,"Supply, Distribution  and Related"
1324.9900,"Supply, Distribution and Related Managers and"
1324.9900,
1330.01,"Manager, Communication"
1330.01,
1330.0100,"Manager, Communication"
1330.0100,
1330.0101,Communication Analyst
1330.0101,Community Health
1330.02,"Contract Officer,"
1330.02,
1330.02,"Contract Officer, Telephone/Liaising Officer/"
1330.0200,"Contract Officer,"
1330.0200,"Contract Officer, Telephone/Liaising Officer/"
1330.0200,
1330.03,
1330.03,Post Master
1330.0300,
1330.0300,Post Master
1330.06,
1330.06,"General Manager, Communication"
1330.0600,
1330.0600,"General Manager, Communication"
1330.0701,Clutch Specialist
1330.0701,Cluster Manager
1330.99,Information and Communication Technology
1330.99,Information and
1330.99,
1330.9900,Information and
1330.9900,
1330.9900,Information and Communication Technology
1345.01,Headmaster
1345.01,
1345.0100,Headmaster
1345.0100,
1346.01,"Manager, Bank"
1346.01,
1346.0100,
1346.0100,"Manager, Bank"
1346.02,"Manager, Insurance"
1346.02,
1346.0200,"Manager, Insurance"
1346.0200,
1346.99,
1346.99,Financial and Insurance Service
1346.99,Financial and Insurance Service Branch
1346.9900,
1346.9900,Financial and Insurance Service
1346.9900,Financial and Insurance Service Branch
1411.01,
1411.01,"Manager, Lodging and Catering"
1411.0100,
1411.0100,"Manager, Lodging and Catering"
1411.02,
1411.02,"General Manager, Lodging and"
1411.02,"General Manager, Lodging and Catering Services"
1411.0200,"General Manager, Lodging and"
1411.0200,
1411.0200,"General Manager, Lodging and Catering Services"
1411.99,
1411.99,"Hotel Managers, Others"
1411.99,"Hotel Managers,  Others"
1411.9900,"Hotel Managers,  Others"
1411.9900,"Hotel Managers, Others"
1411.9900,
1412.01,"Manager, Fast Food Service"
1412.01,
1412.0100,
1412.0100,"Manager, Fast Food Service"
1412.99,
1412.99,"Restaurant Managers, Other"
1412.99,"Restaurant Managers , Other"
1412.9900,
1412.9900,"Restaurant Managers , Other"
1412.9900,"Restaurant Managers, Other"
1420.01,
1420.01,"Manager, Wholesale Trade"
1420.0100,"Manager, Wholesale Trade"
1420.0100,
1420.02,
1420.02,"Manager, Retail Trade"
1420.0200,
1420.0200,"Manager, Retail Trade"
1420.03,"Manager, Export"
1420.03,
1420.0300,
1420.0300,"Manager, Export"
1420.04,"General Manager, Wholesale Trade/Senior"
1420.04,
1420.04,"General Manager, Wholesale"
1420.0400,"General Manager, Wholesale Trade/Senior"
1420.0400,"General Manager, Wholesale"
1420.0400,
1420.05,
1420.05,"General Manager, Retail Trade,"
1420.05,"General Manager, Retail Trade, Senior Manager,"
1420.0500,
1420.0500,"General Manager, Retail Trade, Senior Manager,"
1420.0500,"General Manager, Retail Trade,"
1420.99,"Retail and Wholesale Trade Managers, Other"
1420.99,
1420.99,Retail and Wholesale Trade
1420.9900,
1420.9900,Retail and Wholesale Trade
1420.9900,"Retail and Wholesale Trade Managers, Other"
1431.01,"General Manager, Recreation and"
1431.01,
1431.01,"General Manager, Recreation and Entertainment"
1431.0100,"General Manager, Recreation and"
1431.0100,
1431.0100,"General Manager, Recreation and Entertainment"
1431.99,"Sports, Recreation and Cultural Centre Manager,"
1431.99,"Sports, Recreation and Cultural"
1431.99,
1431.9900,"Sports, Recreation and Cultural"
1431.9900,
